# pattern;frequency
[=={{=en=}}==, ==={{နာမ်}}===, ====ကြောင်းတူဝေါဟာရ====];1
[=={{=en=}}==, ==={{နာမ်}}===];8
[=={{=en=}}==, ===ကြိယာ နှင့် နာမဝိသေသန===];1
[=={{=en=}}==, ===ကြိယာ===, ====ကြောင်းတူအသုံးများ====];2
[=={{=en=}}==, ===ကြိယာ===, ====ဆင့်ပွားအသုံးများ====];1
[=={{=en=}}==, ===ကြိယာ===, ====အသုံးအနူန်းမှတ်စု====];1
[=={{=en=}}==, ===ကြိယာ===];19
[=={{=en=}}==, ===ကြောင်းတူသံကွဲ===];28
[=={{=en=}}==, ===စကား၏ရင်းမြစ်===];1
[=={{=en=}}==, ===နာမဝိသေသန===, ====ကြောင်းတူအသုံးများ====];1
[=={{=en=}}==, ===နာမဝိသေသန===, ====ဆင့်ပွားသုံးများ====];1
[=={{=en=}}==, ===နာမဝိသေသန===, ====ဆန့်ကျင်ဘက်အသုံးများ====];1
[=={{=en=}}==, ===နာမဝိသေသန===, ====သံတူကြောင်းကဲွများ====];1
[=={{=en=}}==, ===နာမဝိသေသန===, ====အသုံးအနူန်းမှတ်ချက်====];1
[=={{=en=}}==, ===နာမဝိသေသန===];19
[=={{=en=}}==, ===နာမ်===, ====ကြောင်းတူသံကွဲ====];4
[=={{=en=}}==, ===နာမ်===, ====ဆက်စပ်အသုံးများ====];1
[=={{=en=}}==, ===နာမ်===, ====ဆင့်ပွားအသုံးများ====];3
[=={{=en=}}==, ===နာမ်===, ====ဘာသာပြန်====];1
[=={{=en=}}==, ===နာမ်===, ====သိပ္ပံအမည်====];1
[=={{=en=}}==, ===နာမ်===, ====အခြားစာလုံးပေါင်း====];1
[=={{=en=}}==, ===နာမ်===, ====အုပ်စုဝင်များ====];1
[=={{=en=}}==, ===နာမ်===];62
[=={{=en=}}==, ===ဘာသာပြန်===];2
[=={{=en=}}==, ===မူကွဲပုံစံ===];1
[=={{=en=}}==, ===ရင်းမြစ်===];2
[=={{=en=}}==, ===အခြားစာလုံးပေါင်း===];1
[=={{=en=}}==, ===အသံထွက်===, ====Quotations====];1
[=={{=en=}}==, ===အသံထွက်===, ====ကြိယာ====];1
[=={{=en=}}==, ===အသံထွက်===, ====ဆင့်ပွားအသုံးများ====];1
[=={{=en=}}==, ===အသံထွက်===, ====နာမ်====];2
[=={{=en=}}==, ===အသံထွက်===];65
[=={{=en=}}==];14882
[=={{=ja=}}==, ===နာမ်===, ====ဆက်စပ်အသုံး��ျား====];1
[=={{=ja=}}==, ===နာမ်===];1
[=={{=ja=}}==, ===အသံထွက်===];1
[=={{=ja=}}==];1
[=={{=ms=}}==, === ရင်းမြစ် ===];2
[=={{=ms=}}==, === အသံထွက် ===];2
[=={{=ms=}}==];2
[=={{=my=}}==, ======, ====ကြောင်းတူသံကွဲများ====];22
[=={{=my=}}==, ======, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];22
[=={{=my=}}==, ======, ====အရေအတွက်====];22
[=={{=my=}}==, ======];22
[=={{=my=}}==, ===[[နာမ်]]===];1
[=={{=my=}}==, ===adv`===, ====ကြောင်းတူသံကွဲများ====];1
[=={{=my=}}==, ===adv`===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[=={{=my=}}==, ===adv`===, ====အရေအတွက်====];1
[=={{=my=}}==, ===adv`===];1
[=={{=my=}}==, ===canj===, ====ကြောင်းတူသံကွဲများ====];2
[=={{=my=}}==, ===canj===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];2
[=={{=my=}}==, ===canj===, ====အရေအတွက်====];2
[=={{=my=}}==, ===canj===];2
[=={{=my=}}==, ===conj.===, ====ကြောင်းတူသံကွဲများ====];1
[=={{=my=}}==, ===conj.===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[=={{=my=}}==, ===conj.===, ====အရေအတွက်====];1
[=={{=my=}}==, ===conj.===];1
[=={{=my=}}==, ===exp===, ====ကြောင်းတူသံကွဲများ====];19
[=={{=my=}}==, ===exp===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];19
[=={{=my=}}==, ===exp===, ====အရေအတွက်====];19
[=={{=my=}}==, ===exp===];19
[=={{=my=}}==, ===n.===, ====ကြောင်းတူသံကွဲများ====];1
[=={{=my=}}==, ===n.===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[=={{=my=}}==, ===n.===, ====အရေအတွက်====];1
[=={{=my=}}==, ===n.===];1
[=={{=my=}}==, ===ppm.===, ====ကြောင်းတူသံကွဲများ====];1
[=={{=my=}}==, ===ppm.===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[=={{=my=}}==, ===ppm.===, ====အရေအတွက်====];1
[=={{=my=}}==, ===ppm.===];1
[=={{=my=}}==, ===pran===, ====ကြောင်းတူသံကွဲများ====];1
[=={{=my=}}==, ===pran===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[=={{=my=}}==, ===pran===, ====အရေအတွက်====];1
[=={{=my=}}==, ===pran===];1
[=={{=my=}}==, ===pro===, ====ကြောင်းတူသံကွဲများ====];1
[=={{=my=}}==, ===pro===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[=={{=my=}}==, ===pro===, ====အရေအတွက်====];1
[=={{=my=}}==, ===pro===];1
[=={{=my=}}==, ===pron & int===, ====ကြောင်းတူသံကွဲများ====];1
[=={{=my=}}==, ===pron & int===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[=={{=my=}}==, ===pron & int===, ====အရေအတွက်====];1
[=={{=my=}}==, ===pron & int===];1
[=={{=my=}}==, ===pron.===, ====ကြောင်းတူသံကွဲများ====];1
[=={{=my=}}==, ===pron.===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[=={{=my=}}==, ===pron.===, ====အရေအတွက်====];1
[=={{=my=}}==, ===pron.===];1
[=={{=my=}}==, ===vv===, ====ကြောင်းတူသံကွဲများ====];1
[=={{=my=}}==, ===vv===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[=={{=my=}}==, ===vv===, ====အရေအတွက်====];1
[=={{=my=}}==, ===vv===];1
[=={{=my=}}==, ==={{နာမ်}}===];1
[=={{=my=}}==, ===ကြိယာ===, ====ကြောင်းတူသံကွဲများ====];10952
[=={{=my=}}==, ===ကြိယာ===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];10952
[=={{=my=}}==, ===ကြိယာ===, ====အရေအတွက်====];10952
[=={{=my=}}==, ===ကြိယာ===];10954
[=={{=my=}}==, ===ကြိယာဝိသေသန===, ====ကြောင်းတူသံကွဲများ====];2473
[=={{=my=}}==, ===ကြိယာဝိသေသန===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];2473
[=={{=my=}}==, ===ကြိယာဝိသေသန===, ====အရေအတွက်====];2473
[=={{=my=}}==, ===ကြိယာဝိသေသန===];2473
[=={{=my=}}==, ===နာမဝိသေသန===, ====ကြောင်းတူသံကွဲများ====];1304
[=={{=my=}}==, ===နာမဝိသေသန===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1304
[=={{=my=}}==, ===နာမဝိသေသန===, ====အရေအတွက်====];1304
[=={{=my=}}==, ===နာမဝိသေသန===];1304
[=={{=my=}}==, ===နာမ်===, ====ကြောင်းတူသံကွဲများ====];20106
[=={{=my=}}==, ===နာမ်===, ====ကြောင်း​တူ​သံ​ကွဲ​များ====];3
[=={{=my=}}==, ===နာမ်===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];19951
[=={{=my=}}==, ===နာမ်===, ====ဆန့်ကျင်ဘက်​စကားလုံး​များ====];3
[=={{=my=}}==, ===နာမ်===, ====ဘာသာပြန်====];2
[=={{=my=}}==, ===နာမ်===, ====အရေအတွက်====];19954
[=={{=my=}}==, ===နာမ်===];19964
[=={{=my=}}==, ===နာမ်စား===, ====ကြောင်းတူသံကွဲများ====];121
[=={{=my=}}==, ===နာမ်စား===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];121
[=={{=my=}}==, ===နာမ်စား===, ====အရေအတွက်====];121
[=={{=my=}}==, ===နာမ်စား===];121
[=={{=my=}}==, ===ဘာသာပြန်===, ====အင်္ဂလိပ်====];5
[=={{=my=}}==, ===ဘာသာပြန်===];35718
[=={{=my=}}==, ===ဘာသာပြန်h===];1
[=={{=my=}}==, ===ဘာသာ​ပြန်===];3
[=={{=my=}}==, ===ရင်းမြစ်===];35710
[=={{=my=}}==, ===ရင်း​မြစ်===];3
[=={{=my=}}==, ===ရှေ့နောက်ဆက် စကားလုံး===, ====ကြောင်းတူသံကွဲများ====];5
[=={{=my=}}==, ===ရှေ့နောက်ဆက် စကားလုံး===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];5
[=={{=my=}}==, ===ရှေ့နောက်ဆက် စကားလုံး===, ====အရေအတွက်====];5
[=={{=my=}}==, ===ရှေ့နောက်ဆက် စကားလုံး===];5
[=={{=my=}}==, ===ဝါစင်္ဂ===, ====ကြောင်းတူသံကွဲများ====];539
[=={{=my=}}==, ===ဝါစင်္ဂ===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];539
[=={{=my=}}==, ===ဝါစင်္ဂ===, ====အရေအတွက်====];539
[=={{=my=}}==, ===ဝါစင်္ဂ===];539
[=={{=my=}}==, ===ဝိဘတ်===, ====ကြောင်းတူသံကွဲများ====];96
[=={{=my=}}==, ===ဝိဘတ်===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];96
[=={{=my=}}==, ===ဝိဘတ်===, ====အရေအတွက်====];96
[=={{=my=}}==, ===ဝိဘတ်===];96
[=={{=my=}}==, ===သမ္ဗန္ဓ===, ====ကြောင်းတူသံကွဲများ====];145
[=={{=my=}}==, ===သမ္ဗန္ဓ===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];145
[=={{=my=}}==, ===သမ္ဗန္ဓ===, ====အရေအတွက်====];145
[=={{=my=}}==, ===သမ္ဗန္ဓ===];145
[=={{=my=}}==, ===သံတူကြောင်းကွဲ===];1
[=={{=my=}}==, ===အသံထွက်===];35712
[=={{=my=}}==, ===အသံ​ထွက်===];3
[=={{=my=}}==, ===အာမေဍိတ်===, ====ကြောင်းတူသံကွဲများ====];51
[=={{=my=}}==, ===အာမေဍိတ်===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];51
[=={{=my=}}==, ===အာမေဍိတ်===, ====အရေအတွက်====];51
[=={{=my=}}==, ===အာမေဍိတ်===];51
[=={{=my=}}==, ===ိadj===, ====ကြောင်းတူသံကွဲများ====];1
[=={{=my=}}==, ===ိadj===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[=={{=my=}}==, ===ိadj===, ====အရေအတွက်====];1
[=={{=my=}}==, ===ိadj===];1
[=={{=my=}}==, ===ိv===, ====ကြောင်းတူသံကွဲများ====];3
[=={{=my=}}==, ===ိv===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];3
[=={{=my=}}==, ===ိv===, ====အရေအတွက်====];3
[=={{=my=}}==, ===ိv===];3
[=={{=my=}}==, ===့n===, ====ကြောင်းတူသံကွဲများ====];2
[=={{=my=}}==, ===့n===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];2
[=={{=my=}}==, ===့n===, ====အရေအတွက်====];2
[=={{=my=}}==, ===့n===];2
[=={{=my=}}==, ===်adj===, ====ကြောင်းတူသံကွဲများ====];1
[=={{=my=}}==, ===်adj===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[=={{=my=}}==, ===်adj===, ====အရေအတွက်====];1
[=={{=my=}}==, ===်adj===];1
[=={{=my=}}==, ===်part===, ====ကြောင်းတူသံကွဲများ====];1
[=={{=my=}}==, ===်part===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[=={{=my=}}==, ===်part===, ====အရေအတွက်====];1
[=={{=my=}}==, ===်part===];1
[=={{=my=}}==, ===်v===, ====ကြောင်းတူသံကွဲများ====];4
[=={{=my=}}==, ===်v===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];4
[=={{=my=}}==, ===်v===, ====အရေအတွက်====];4
[=={{=my=}}==, ===်v===];4
[=={{=my=}}==, ===‌adv===, ====ကြောင်းတူသံကွဲများ====];9
[=={{=my=}}==, ===‌adv===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];9
[=={{=my=}}==, ===‌adv===, ====အရေအတွက်====];9
[=={{=my=}}==, ===‌adv===];9
[=={{=my=}}==];35733
[=={{=tr=}}==];1
[=={{my}}==, ===နာမ်===];1
[=={{my}}==];1
[==ကိုးကား==];4
[==ကြိယာ နှင့် နာမဝိသေသန==, ===ကြောင်းတူသံကွဲ===];8
[==ကြိယာ နှင့် နာမဝိသေသန===, ===ကြောင်းတူသံကွဲ===];2
[==ကြိယာ နှင့် နာမဝိသေသန===];2
[==ကြိယာ နှင့် နာမဝိသေသန==];9
[==ကြိယာ နှင့် နာမ်==];1
[==ကြိယာ==, ===ကြောင်းတူသံကွဲ===];2
[==ကြိယာ==];6
[==ကြိယာဝိသေသန {{-en-ကြိယာဝိသေသန-}} <!--Adverb / Adverbial phrase-->==, ===<<!--Synonym-->>===];1
[==ကြိယာဝိသေသန {{-en-ကြိယာဝိသေသန-}} <!--Adverb / Adverbial phrase-->==];1
[==ကြိယာဝိသေသန==, ===နာမဝိသေသန===];1
[==ကြိယာဝိသေသန==];1
[==ကြောင်းတူသံကွဲ==, ==={{ကြိယာ}}===];1
[==ကြောင်းတူသံကွဲ==, ==={{နာမ်}}===];1
[==ကြောင်းတူသံကွဲ==];14
[==ဆန့်ကျင်ဘက်==];1
[==ထိုင်း==, ===ဘာသာပြန်===];1
[==ထိုင်း==, ===အကျဉ်းချုံး===];1
[==ထိုင်း==, ===အသံထွက်===];4
[==ထိုင်း==];5
[==နာမဝိသေသန===];1
[==နာမဝိသေသန==];16
[==နာမ္ {{-my-နာမ္-}} <!--Noun-->==, ===<<!---Synonyms-->>===];1
[==နာမ္ {{-my-နာမ္-}} <!--Noun-->==, ===See also<!--Please translate "See also"-->===];1
[==နာမ္ {{-my-နာမ္-}} <!--Noun-->==];5
[==နာမ် {{-my-နာမ်-}} <!--Noun-->==];2
[==နာမ်==, ===ကြိယာ နှင့် နာမဝိသေသန===];1
[==နာမ်==, ===ကြိယာ===];2
[==နာမ်==, ===ကြောင်းတူသံကွဲ===];2
[==နာမ်==];42
[==ပထမအဆင့်==, ===ဒုတိယအဆင့်===, ====တတိယအဆင့်====, =====စတုတ္ထအဆင့်=====];1
[==ပထမအဆင့်==, ===ဒုတိယအဆင့်===, ====တတိယအဆင့်====];1
[==ပထမအဆင့်==, ===ဒုတိယအဆင့်===];1
[==ပထမအဆင့်==];1
[==ပေါ်​တူ​ဂီ==, ===တခြား​သုံး​ပုံစံ​များ===];1
[==ပေါ်​တူ​ဂီ==, ===နာမ်===, ====ကြောင်းတူစာလုံးကွဲများ====];1
[==ပေါ်​တူ​ဂီ==, ===နာမ်===];1
[==ပေါ်​တူ​ဂီ==, ===မူလအမြစ်​ပြ===];1
[==ပေါ်​တူ​ဂီ==, ===အသံ​ထွက်===];1
[==ပေါ်​တူ​ဂီ==];1
[==ပြင်သစ်==, ===မူလအမြစ်​ပြ===];2
[==ပြင်သစ်==, ===အသံထွက်===];1
[==ပြင်သစ်==, ===အသံ​ထွက်===];2
[==ပြင်သစ်==];3
[==ပြင်​သစ်==, ===နာမ်===];1
[==ပြင်​သစ်==, ===အသံ​ထွက်===];1
[==ပြင်​သစ်==];2
[==ဘာသာပြန် <!--Translation-->==, ===နာမ်===, ====ကြောင်းတူသံကွဲများ====];1
[==ဘာသာပြန် <!--Translation-->==, ===နာမ်===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[==ဘာသာပြန် <!--Translation-->==, ===နာမ်===, ====အရေအတွက်====];1
[==ဘာသာပြန် <!--Translation-->==, ===နာမ်===];1
[==ဘာသာပြန် <!--Translation-->==, ===ဘာသာပြန်===];1
[==ဘာသာပြန် <!--Translation-->==, ===ရင်းမြစ်===];1
[==ဘာသာပြန် <!--Translation-->==, ===အသံထွက်===];1
[==ဘာသာပြန် <!--Translation-->==];1
[==ဘာသာျပန္ <!--Translation-->==, ===ကြိယာဝိသေသန===, ====ကြောင်းတူသံကွဲများ====];1
[==ဘာသာျပန္ <!--Translation-->==, ===ကြိယာဝိသေသန===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[==ဘာသာျပန္ <!--Translation-->==, ===ကြိယာဝိသေသန===, ====အရေအတွက်====];1
[==ဘာသာျပန္ <!--Translation-->==, ===ကြိယာဝိသေသန===];1
[==ဘာသာျပန္ <!--Translation-->==, ===နာမ်===, ====ကြောင်းတူသံကွဲများ====];1
[==ဘာသာျပန္ <!--Translation-->==, ===နာမ်===, ====ဆန့်ကျင်ဘက်စကားလုံးများ====];1
[==ဘာသာျပန္ <!--Translation-->==, ===နာမ်===, ====အရေအတွက်====];1
[==ဘာသာျပန္ <!--Translation-->==, ===နာမ်===];1
[==ဘာသာျပန္ <!--Translation-->==, ===ဘာသာပြန်===];2
[==ဘာသာျပန္ <!--Translation-->==, ===ရင်းမြစ်===];2
[==ဘာသာျပန္ <!--Translation-->==, ===အသံထွက်===];2
[==ဘာသာျပန္ <!--Translation-->==];2
[==လက်တင်==, ===တခြားအသုံးပုံစံများ===];2
[==လက်တင်==, ===အသံထွက်===];2
[==လက်တင်==];2
[==လိုအပ်ချက်များ==];1
[==သံတူကြောင်းကွဲ==];1
[==အခြေခံများ==];1
[==အဂ်​လိပ်==, ===ကြိယာ===];1
[==အဂ်​လိပ်==];1
[==အင်္ဂလိပ်==, === Adj===];2
[==အင်္ဂလိပ်==, === Verb and Adj===];1
[==အင်္ဂလိပ်==, === အသံထွက်===];1
[==အင်္ဂလိပ်==, ==='''Verb imp.'''===];1
[==အင်္ဂလိပ်==, ==='''intj.'''===];3
[==အင်္ဂလိပ်==, ==='''ဝိဘတ်'''===];3
[==အင်္ဂလိပ်==, ===''interj.''===];1
[==အင်္ဂလိပ်==, ===''intj.'''===];1
[==အင်္ဂလိပ်==, ===''intj.''===];5
[==အင်္ဂလိပ်==, ===''နာမ်စား poss.''===];1
[==အင်္ဂလိပ်==, ===''နာမ်စား''===];4
[==အင်္ဂလိပ်==, ===''ဝိဘတ်''===];10
[==အင်္ဂလိပ်==, ===''သမ္ဗန္ဓ''===];2
[==အင်္ဂလိပ်==, ====ကြိယာ====];1
[==အင်္ဂလိပ်==, ====ကြောင်းတူအသုံးများ====];1
[==အင်္ဂလိပ်==, ====ဆက်စပ်အသုံးများ====];1
[==အင်္ဂလိပ်==, ====နာမဝိသေသန====, =====ကြောင်းတူအသုံးများ=====];1
[==အင်္ဂလိပ်==, ====နာမဝိသေသန====, =====ဆင့်ပွားအသုံးများ=====];1
[==အင်္ဂလိပ်==, ====နာမဝိသေသန====];2
[==အင်္ဂလိပ်==, ====နာမ်====];1
[==အင်္ဂလိပ်==, ====အသံထွက်====];3
[==အင်္ဂလိပ်==, ===Adj```===];1
[==အင်္ဂလိပ်==, ===Adjective===];3
[==အင်္ဂလိပ်==, ===Adjerb and Adj===];1
[==အင်္ဂလိပ်==, ===Idiom===];3
[==အင်္ဂလိပ်==, ===Noun and Adj===];1
[==အင်္ဂလိပ်==, ===Pronoun '''poss.'''===];1
[==အင်္ဂလိပ်==, ===Pronoun===];3
[==အင်္ဂလိပ်==, ===Pronunciation===];3
[==အင်္ဂလိပ်==, ===See also===];1
[==အင်္ဂလိပ်==, ===Synnonym===];1
[==အင်္ဂလိပ်==, ===Synonym===];2
[==အင်္ဂလိပ်==, ===Synonyms ===];1
[==အင်္ဂလိပ်==, ===Synoyms===];1
[==အင်္ဂလိပ်==, ===Varb and Adj===];1
[==အင်္ဂလိပ်==, ===Verb  and Noun===];1
[==အင်္ဂလိပ်==, ===Verb ===];6
[==အင်္ဂလိပ်==, ===Verb and  Adj===];9
[==အင်္ဂလိပ်==, ===Verb and Adj  ===];1
[==အင်္ဂလိပ်==, ===Verb and Adj ===];1
[==အင်္ဂလိပ်==, ===Verb and V===];3
[==အင်္ဂလိပ်==, ===Vverb and Adj===];1
[==အင်္ဂလိပ်==, ===adj===];2
[==အင်္ဂလိပ်==, ===noun===];2
[==အင်္ဂလိပ်==, ===verb and Adj===];3
[==အင်္ဂလိပ်==, ===verb and Noun===];1
[==အင်္ဂလိပ်==, ===verb===];2
[==အင်္ဂလိပ်==, ===verb==];1
[==အင်္ဂလိပ်==, ==={{ကြိယာ}}===];1
[==အင်္ဂလိပ်==, ==={{နာမဝိသေသန}}===];1
[==အင်္ဂလိပ်==, ===ကံလို===];1
[==အင်္ဂလိပ်==, ===ကြည့်ရန်===];2
[==အင်္ဂလိပ်==, ===ကြားဖောက် စကား===];1
[==အင်္ဂလိပ်==, ===ကြားဖောက်ပြောဆိုခြင်း===];5
[==အင်္ဂလိပ်==, ===ကြိယာ နှင့် နာမဝိသေသန===];660
[==အင်္ဂလိပ်==, ===ကြိယာ နှင့် နာမဝိသေသန==];1
[==အင်္ဂလိပ်==, ===ကြိယာ နှင့် နာမ်===];202
[==အင်္ဂလိပ်==, ===ကြိယာ===, ====ကြောင်းတူသံကွဲများ====];2
[==အင်္ဂလိပ်==, ===ကြိယာ===, ====ကြောင်းတူအသုံးများ====];8
[==အင်္ဂလိပ်==, ===ကြိယာ===, ====ဆင့်ပွားအသုံးများ====];8
[==အင်္ဂလိပ်==, ===ကြိယာ===, ====ဆန့်ကျင်ဘက်အသုံးများ====];2
[==အင်္ဂလိပ်==, ===ကြိယာ===, ====သံတူကြောင်းကွဲများ====];5
[==အင်္ဂလိပ်==, ===ကြိယာ===, ====အသံထွက်====];1
[==အင်္ဂလိပ်==, ===ကြိယာ===];946
[==အင်္ဂလိပ်==, ===ကြိယာ==];7
[==အင်္ဂလိပ်==, ===ကြိယာဝိသေသန===, ====ကြောင်းတူသံကွဲ====];1
[==အင်္ဂလိပ်==, ===ကြိယာဝိသေသန===, ====ဆင့်ပွားအသုံးများ====];1
[==အင်္ဂလိပ်==, ===ကြိယာဝိသေသန===];196
[==အင်္ဂလိပ်==, ===ကြောင်းတူသံကွဲ===, ====ပေါ်ဆင့် အသုံး====];1
[==အင်္ဂလိပ်==, ===ကြောင်းတူသံကွဲ===, ====အောက်ဆင့် အသုံး====];1
[==အင်္ဂလိပ်==, ===ကြောင်းတူသံကွဲ===];6633
[==အင်္ဂလိပ်==, ===ကြောင်းတူသံကွဲများ===, ====ဆင့်ပွားအသုံးများ====];1
[==အင်္ဂလိပ်==, ===ကြောင်းတူသံကွဲများ===];5
[==အင်္ဂလိပ်==, ===ကြောင်း​တူ​စာလုံး​ကွဲ​များ===];2
[==အင်္ဂလိပ်==, ===စဦးထွက်===, ====သုံးပြုကြပုံများ====];2
